anuncio,valor_cop,tipo,city,Ciudad,Estado,area,Cuartos,bano,habitaciones
"Desde $ 1.148.157.500

Apartamento en Envigado, Antioquia

Unidades desde:

2 Habs.
3 Baños
87.35 m²
Pinot, Apartamento En Venta En Envigado

Proyecto Sobre Planos Pinot en Envigado Loma las Brujas, encuentras un hogar donde cada detalle ha sido pensado para crear momentos inolvidables, con atardeceres encantadores, inmersos en la tranquilidad de un proyecto místico, elegante y contemporáneo, escribenos para ampliarte la información.

Contactar
Llamar
Whatsapp",1148157500,Apartamento," Antioquia

Unidades desde:

2 Habs.
3 Baños
87.35 m²
Pinot",Envigado,Apartamento En Venta En Envigado,87.35,3,,2
"Desde $ 341.064.000

Apartamento en Rionegro, Antioquia

Unidades desde:

3 Habs.
2 Baños
59.8 m²
Armonia, Apartamento En Venta En Rionegro

Descubre Armonía, un proyecto de apartamentos con una ubicación estratégica a un paso del centro de Rionegro y con 5 vías de acceso, es una excelente opción para vivir o invertir. En una zona traquila, campestre y cerca a todos los servicios que necesitas. Incluyendo reconocidas clínicas del oriente antioqueño y el aeropuerto internacional José Maria Córdova que le presta servicio a la ciudad de Medellín.

Contactar
Llamar
Whatsapp",341064000,Apartamento," Antioquia

Unidades desde:

3 Habs.
2 Baños
59.8 m²
Armonia",Rionegro,Apartamento En Venta En Rionegro,59.8,2,,3
"Desde $ 759.440.000

Apartamento en La ceja, Antioquia

Unidades desde:

3 Habs.
2 Baños
83.5 m²
Sky Tower, Apartamento En Venta En La Ceja

Nuestro mejor amenity es el cielo, un proyecto exclusivo sólo una torre 90 apartamentos. En el social rooftop podrás disfrutar de la vista, coworking, mirador boreal, gimnasio, salón social, La inspiración de nuestro diseño es integrar toda la zona social en un balcón que se convierte en una gran terraza para disfrutar con amigos y familia. Valor incluye parqueadero y cuarto útil. NO incluye acabados

Contactar
Llamar
Whatsapp",759440000,Apartamento," Antioquia

Unidades desde:

3 Habs.
2 Baños
83.5 m²
Sky Tower",La ceja,Apartamento En Venta En La Ceja,83.5,2,,3
"Desde $ 415.000.000

Apartamento en La estrella, Antioquia
2 Habs.
2 Baños
52 m²
Celesti, Apartamento En Venta En La Estrella

CELESTI, un proyecto inspirado en lo celestial, en lo divino, en los pequeños detalles y en convertir el hogar en un espacio de paz y tranquilidad rodeado de naturaleza sin salir de la ciudad. Su diseño y tipologías con opción de 2 y 3 alcobas a un precio altamente competitivo, son ideales para convertirse en una excelente inversión con notable potencial de valorización. Además este tipo de apartamentos tiene todas las características que buscan las familias que sueñan con tener su vivienda propia: Habitaciones de acuerdo a su composición familiar, ubicación en un entorno que cuente con todos los servicios cerca y una zona que se proyecte en el corto, mediano y largo plazo con un precio asequible

Contactar
Llamar
Whatsapp",415000000,Apartamento," Antioquia
2 Habs.
2 Baños
52 m²
Celesti",La estrella,Apartamento En Venta En La Estrella,52,2,,2
"Desde $ 590.000.000

Casa en El Retiro, Antioquia
2 Habs.
3 Baños
94 m²
Retiro Del Viento, Casa En Venta En El Retiro

Retiro del Viento se encuentra ubicado en el municipio del Retiro, joya del oriente antioqueño, que conserva su arquitectura y tradiciones propias de pueblo. La tranquilidad, los paisajes y la madera hecha arte, hacen del retiro un lugar perfecto para vivir. Ven a conocer nuestra propuesta única de casas unifamiliares, que por medio de la madera evoca la tradición patrimonial de esta tierra a precio accesibles para todos. En esta hermosa casa PARA ESTRENAR, encuentras en el primer piso sala comedor amplia, una alcoba principal con bano y vestier, cocina integral con red de gas, patio de ropas y bano social. En el segundo piso encuentras balcon y 1 alcobas con bano y vestier, estudio y balcon. Descubre en Retiro del Viento como disfrutar de la comodidad y ventajas de lo urbano, tal y como si estuvieras en el campo

Contactar
Llamar
Whatsapp",590000000,Casa," Antioquia
2 Habs.
3 Baños
94 m²
Retiro Del Viento",El Retiro,Casa En Venta En El Retiro,94,3,,2
"Desde $ 235.000.000

Apartamento en Bello, Antioquia
3 Habs.
2 Baños
54.51 m²
Bosques De Alcala, Apartamento En Venta En Bello

Proyecto VIS CON PRECIO FIJO, Apartamento de 3 alcobas, dos baños, sala comedor, balcón, cocina, zona de ropas. El proyecto cuenta con Piscina, Salón social, Cancha de fútbol, juegos infantiles, zona de mascotas, amplias zonas verdes, mall comercial, portería 24 horas. El apartamento se entrega sin acabados para que cada comprador realice las reformas a su gusto.

Contactar
Llamar
Whatsapp",235000000,Apartamento," Antioquia
3 Habs.
2 Baños
54.51 m²
Bosques De Alcala",Bello,Apartamento En Venta En Bello,54.51,2,,3
"Desde $ 1.400.000.000

Casa en Circasia

Unidades desde:

4 Habs.
3 Baños
180 m²
Entremaderos, Apartamento En Venta En Circasia

Entremaderos es un Condominio Campestre de 115 casas en lotes independientes de 3.000 m2, 4 tipos de casas. 3 km de ciclovia. Bosques nativos al interior. Condominio cerrado. Vigilancia 24 horas. Casas con Dos parqueaderos cubiertos con deposito, cocina, alcoba de servicio con baño, zona de ropas, baño social, estadero, 3 habitaciones con vestier y baño, cuarto de linos, estudio. Gas natural, tanque de reserva de agua de 2.000 lt, pozo séptico ...

Contactar
Llamar
Whatsapp",1400000000,Casa," Apartamento En Venta En Circasia

Entremaderos es un Condominio Campestre de 115 casas"," Circasia

Unidades desde:

4 Habs.
3 Baños
180 m²
Entremaderos",,180,3,,4
"Desde $ 140.410.000

Apartamento en Soledad, Atlantico

Unidades desde:

1 Hab
2 Baños
37.81 m²
Los Manantiales Tulipan, Apartamento En Venta En Soledad

El proyecto denominado LOS MANANTIALES - TULIPÁN está localizado en la ciudad de Soledad - Atlántico, uno de las ciudades más importantes del Departamento Atlántico por ofrecer un atractivo patrimonio cultural-artístico del Caribe Colombiano y por contar con un importante número de industrias, lo cual impulsa su desarrollo urbano en cuanto a infraestructura de obras civiles se refiere.

Contactar
Llamar
Whatsapp",140410000,Apartamento," Atlantico

Unidades desde:

1 Hab
2 Baños
37.81 m²
Los Manantiales Tulipan",Soledad,Apartamento En Venta En Soledad,37.81,2,,1
"Desde $ 263.970.000

Apartamento en Barranquilla, Atlantico

Unidades desde:

1 Hab
2 Baños
54.99 m²
Riveraqua, Apartamento En Venta En Barranquilla

RiverAqua es un proyecto VIS en Ríoalto, con piscinas, canchas, zonas verdes, juegos infantiles y espacios de bienestar para disfrutar cada día.

Contactar
Llamar
Whatsapp",263970000,Apartamento," Atlantico

Unidades desde:

1 Hab
2 Baños
54.99 m²
Riveraqua",Barranquilla,Apartamento En Venta En Barranquilla,54.99,2,,1
"Desde $ 339.120.429

Apartamento en Conjunto residencial villa campestre, Atlantico

Unidades desde:

2 Habs.
2 Baños
65.31 m²
Apartamento En Venta

OIKOS Costa Azul Club de Playa es un proyecto de vivienda multifamiliar NO VIS ubicado en el exclusivo sector de Villa Campestre, área residencial de alta valorización que se encuentra en Puerto Colombia, Área metropolitana de Barranquilla. Su excelente ubicación permite el disfrute de una de las mejores vistas de la ciudad, pero además brinda una panorámica parcial del esplendoroso litoral caribe. Al estar cerca del principal corredor universitario, el proyecto cuenta con una óptima interconectividad y le garantiza a los propietarios el acceso a diferentes vías principales que permiten la movilidad hacia centros comerciales, destinos turísticos y distintas áreas de interés. Con la consolidación de todas las etapas se desarrollará una zona común denominada Club De Playa, la cual cuenta cancha voleibol playa, quioscos, zona BBQ, lago de contemplación y zonas verdes. Separa ya con $5.000.000 ENTREGAS PRIMER TRIMESTRE DE 2027 Paga tu cuota inicial en 16 meses

Contactar
Llamar
Whatsapp",339120429,Apartamento," Atlantico

Unidades desde:

2 Habs.
2 Baños
65.31 m²
Apartamento En Venta

OIKOS Costa Azul Club de Playa es un proyecto de vivienda multifamiliar NO VIS ubicado",Conjunto residencial villa campestre,,65.31,2,,2
"Desde $ 339.120.429

Apartamento en Conjunto residencial villa campestre, Atlantico

Unidades desde:

2 Habs.
2 Baños
65.31 m²
Apartamento En Venta

OIKOS Costa Azul Club de Playa es un proyecto de vivienda multifamiliar NO VIS ubicado en el exclusivo sector de Villa Campestre, área residencial de alta valorización que se encuentra en Puerto Colombia, Área metropolitana de Barranquilla. Su excelente ubicación permite el disfrute de una de las mejores vistas de la ciudad, pero además brinda una panorámica parcial del esplendoroso litoral caribe. Al estar cerca del principal corredor universitario, el proyecto cuenta con una óptima interconectividad y le garantiza a los propietarios el acceso a diferentes vías principales que permiten la movilidad hacia centros comerciales, destinos turísticos y distintas áreas de interés. Con la consolidación de todas las etapas se desarrollará una zona común denominada Club De Playa, la cual cuenta cancha voleibol playa, quioscos, zona BBQ, lago de contemplación y zonas verdes. Separa ya con $5.000.000 ENTREGAS PRIMER TRIMESTRE DE 2027 Paga tu cuota inicial en 16 meses

Contactar
Llamar
Whatsapp",339120429,Apartamento," Atlantico

Unidades desde:

2 Habs.
2 Baños
65.31 m²
Apartamento En Venta

OIKOS Costa Azul Club de Playa es un proyecto de vivienda multifamiliar NO VIS ubicado",Conjunto residencial villa campestre,,65.31,2,,2
"Desde $ 1.450.000.000

Casa en Puerto colombia, Atlantico

Unidades desde:

3 Habs.
3 Baños
191 m²
Santa Barbara Club House, Casa En Venta En Puerto Colombia

Santa Bárbara Club House es un Exclusivo Desarrollo Inmobiliario de 89 Casas en Conjunto Cerrado, estrato 5, ubicado en un sector estratégico de alta valorización, a solo 5 minutos del sector del Buenavista, cerca a la Clínica Porto Azul, a pocos pasos del Colegio San José y la Universidad del Norte. Con amplias amenidades para disfrutar en Familia: Club House con un Imponente Lobby climatizado, Salón Social, Cancha de Squash, Gimnasio, Cancha múltiple, Parque infantil, Parque para mascotas, Zona de Picnic, Parque Zen, Piscina para adultos, Piscina para niños, Sauna, Turco y Planta Eléctrica de Suplencia Total. Listas para entrega INMEDIATA!

Contactar",1450000000,Casa," Atlantico

Unidades desde:

3 Habs.
3 Baños
191 m²
Santa Barbara Club House",Puerto colombia,Casa En Venta En Puerto Colombia,191,3,,3
"Desde $ 206.303.000

Apartamento en Soledad, Atlantico
1 Hab
2 Baños
42.38 m²
Ciudad Del Parque Los Flamencos, Apartamento En Venta En Soledad

¡Beneficios Especiales, Únicamente para proyectos y tipologías seleccionadas.! *Aplica TERMINOS Y CONDICIONES. Flamencos es un proyecto de Vivienda de Interés Social ubicado en Ciudad del Parque la ciudadela habitacional más grande de Soledad, un lugar ideal para las familias que piensan en su futuro, su bienestar y mejorar su calidad de vida. Un sector en expansión que se ha posicionado por un amplio desarrollo de áreas de recreación, parques, ciclorutas, oferta institucional y comercial, así como servicios públicos y viales.

Contactar
Llamar
Whatsapp",206303000,Apartamento," Atlantico
1 Hab
2 Baños
42.38 m²
Ciudad Del Parque Los Flamencos",Soledad,Apartamento En Venta En Soledad,42.38,2,,1
"Desde $ 206.370.000

Apartamento en Soledad, Atlantico
2 Habs.
2 Baños
59.89 m²
Ciudad Del Parque Acandí, Apartamento En Venta En Soledad

Ciudad del Parque Acandí se desarrolla en una zona de gran crecimiento urbanístico donde podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia. Como parte de la Nueva Soledad, el sector presenta una gran capacidad de valorización, con múltiples vías de acceso, cercano a varios espacios educativos y comerciales. Sitios de interés cercanos: – Colegio Liceo Mayor de Soledad Rafael Uribe Lacouture – Olímpica – Terminal de Transporte – Iglesia San Pancracio – C.C. Portal de Soledad – Portal de Transmetro Soledad

Contactar
Llamar
Whatsapp",206370000,Apartamento," Atlantico
2 Habs.
2 Baños
59.89 m²
Ciudad Del Parque Acandí",Soledad,Apartamento En Venta En Soledad,59.89,2,,2
"Desde $ 3.200.000.000

Casa en Altos de pradomar, Atlantico
4 Habs.
5 Baños
600 m²
Casa En Venta

APUNIDOS creo TRIBECA con una propuesta innovadora original que se adapta a todos estos requerimientos y exigencias. Mejorar la distribución de los espacios hacer que sus uso sea más racional, sacar el máximo partido a los espacios en una construcción muy particular que permite jugar con los materiales, la forma y la estética buscando finalmente que los colores y materiales utilizados se salgan de los estandartes y no estar sujetos a las mismas limitaciones que una residencia tradicional..

Contactar
Llamar
Whatsapp",3200000000,Casa," Atlantico
4 Habs.
5 Baños
600 m²
Casa En Venta

APUNIDOS creo TRIBECA con una propuesta innovadora original que se adapta a todos estos requerimientos y exigencias. Mejorar la distribución de los espacios hacer que sus uso sea más racional",Altos de pradomar,sacar el máximo partido a los espacios,600,5,,4
"Desde $ 189.000.000

Apartamento en Villamaria, Caldas
2 Habs.
1 Baño
40.36 m²
Mirador Del Cerro, Apartamento En Venta En Villamaria

Apartamentos de 2 habitaciones en Villamaría a tan solo 5 minutos del centro de Manizales. Imagina despertar cada día con una vista que inspira, rodeado de tranquilidad y a solo minutos del corazón de la ciudad. En Mirador del Cerro, no solo encuentras un apartamento, sino un espacio para vivir con calma, proyectar tus sueños y construir tu futuro. ¡Es momento de elegir bienestar, comodidad y una vida con propósito! Vivir en Mirador del Cerro es elegir un hogar con excelente infraestructura y acceso inmediato a todo lo que necesitas. A pocos minutos de Manizales, con vías principales, transporte, servicios y naturaleza a tu alrededor, este proyecto combina diseño moderno, ubicación estratégica y tranquilidad en un solo lugar. ¡Es el momento de vivir mejor, más conectado y con todo al alcance de tu mano! Valor de los apartamentos corresponde a 107 Smlv proyectados al 2028. Separación con tan solo 500.000 y amplio plazo para la cuota inicial (20%).

Contactar
Llamar
Whatsapp",189000000,Apartamento," Caldas
2 Habs.
1 Baño
40.36 m²
Mirador Del Cerro",Villamaria,Apartamento En Venta En Villamaria,40.36,1,,2
"Desde $ 315.154.570

Casa Campestre en Carmen de Apicalá

Unidades desde:

3 Habs.
3 Baños
87.65 m²
Reserva Los Robles, Casa Campestre En Venta En Carmen De Apicalá

Ubicado en una zona de alto potencial de desarrollo y valorización, nuestro proyecto residencial de casas campestres, te ofrece comodidad, tranquilidad y conexión con la naturaleza. Ya sea que busques una vivienda de descanso, un espacio vacacional, una inversión para renta, el hogar para tu familia o tu lugar de retiro, Reserva Los Robles tiene el espacio ideal para ti. Las posibilidades son infinitas y tu futuro en medio de la naturaleza comienza aquí. Tres tipos de casas, completamente terminadas y con la opción de piscina privada si lo deseas, agenda tu cita ya!.

Contactar
Llamar
Whatsapp",315154570,Casa," Casa Campestre En Venta En Carmen De Apicalá

Ubicado"," Carmen de Apicalá

Unidades desde:

3 Habs.
3 Baños
87.65 m²
Reserva Los Robles",,87.65,3,,3
"Desde $ 221.080.000

Apartamento en Cajicá, Cundinamarca

Unidades desde:

1 Hab
1 Baño
37.28 m²
Rossé Apartamentos, Apartamento En Venta En Cajicá

* CERCA A CENTROS COMERCIALES (FONATANAR/CEBTRO CHIA) *CERCA A RESTAURANTES RECONOCIDOS (RANCHO MX, SAN ROQUE, BAZAR). * CERCA A CLINICAS Y HOSPITALES (TELETON, HOSPITAL JORGE CAVELIER, CLINICA SAN LUIS, CLINICA MARLY, HOSPITAL REGIONAL) *ACCESO CERCANO A CICLORUTAS. * FACILIDAD DE TRASPORTE PUBLICO PARA BOGOTÁ, CHIA, TABIO, COTA, MADRID, ZIPAQUIRA. * DOS VIAS DE ACCESO AL CONJUNTO * CERCANIA A COLEGIOS, CAJICA CUENTA CON ALREEDEDOR DE 23 COLEGIOS

Contactar
Llamar
Whatsapp",221080000,Apartamento," Cundinamarca

Unidades desde:

1 Hab
1 Baño
37.28 m²
Rossé Apartamentos",Cajicá,Apartamento En Venta En Cajicá,37.28,1,,1
"Desde $ 621.600.000

Lote en La calera, Cundinamarca

Unidades desde:

1960 m²
Valle Alto De La Pradera, Lote En Venta En La Calera

*ZONAS VERDES *TRANQUILIDAD *EXCELENTE UBICACION *AREAS COMUNES *VIGILANCIA 24 HORAS *VIAS DE ACCESO

Contactar
Llamar
Whatsapp",621600000,Lote," Cundinamarca

Unidades desde:

1960 m²
Valle Alto De La Pradera",La calera,Lote En Venta En La Calera,1960,0,,p
"Desde $ 215.334.450

Apartamento en Fusagasugá, Cundinamarca

Unidades desde:

2 Habs.
1 Baño
54.54 m²
Entreverde, Apartamento En Venta En Fusagasugá

OIKOS Entreverde es un proyecto de vivienda de interés social (VIS) en Fusagasugá, pensado para vivir en un entorno que fusiona naturaleza, modernidad y confort. Nuestros apartamentos VIS, diseñados con el objetivo de garantizar tu bienestar y el de tu familia, son la oportunidad perfecta para invertir en finca raíz de calidad contamos con completas zonas comunes como: piscinas para niños y adultos, gimnasio, zonas BBQ, salones sociales, áreas de juegos y extensas zonas verdes perfectas para relajarte y compartir con quienes más quieres. Vivir en OIKOS Entreverde es disfrutar de la comodidad, seguridad y tranquilidad del mejor proyecto de vivienda VIS en Fusagasugá, con acceso fácil a subsidios y créditos. ¡Descubre cómo cada día puede ser mejor en tu nuevo hogar! Cuota inicial con plazo de hasta 23 meses.

Contactar",215334450,Apartamento," Cundinamarca

Unidades desde:

2 Habs.
1 Baño
54.54 m²
Entreverde",Fusagasugá,Apartamento En Venta En Fusagasugá,54.54,1,,2
"Desde $ 217.999.000

Apartamento en Mosquera, Cundinamarca

Unidades desde:

2 Habs.
2 Baños
38.5 m²
Acanto 2, Apartamento En Venta En Mosquera

Apartamentos en obra gris, con y sin subsidio, en una zona de alta valorización vía Fontibón a Mosquera antes de pasar el peaje. Está diseñado y pensado en el bienestar de las familias que sueñan con tener su vivienda propia, por esta razón, ofrece gran cantidad de parqueaderos comunales y la distribución perfecta. Los compradores disfrutarán de Piscina cubierta y climatizada, Cancha de Futbol 5, Gimnasios, Zona de Coworking, Salón de Juegos de Mesa / Video Juegos y mucho más.

Contactar
Llamar
Whatsapp",217999000,Apartamento," Cundinamarca

Unidades desde:

2 Habs.
2 Baños
38.5 m²
Acanto 2",Mosquera,Apartamento En Venta En Mosquera,38.5,2,,2
"Desde $ 172.853.050

Apartamento en Soacha, Cundinamarca

Unidades desde:

2 Habs.
2 Baños
47 m²
Zue Granate, Apartamento En Venta En Soacha

Zue Granate es el proyecto VIP del Megaproyecto Avivir Zue ubicado en Soacha, cerca del nuevo portal de Transmilenio El Vinculo en donde podrás encontrar tranquilidad y zonas verdes para compartir con tu familia. Con mas de 260.000m2 zonas verdes ambientales y paques, mas de 3,70km de vías del Megaproyecto y mas de 8.000 viviendas y 17 proyectos en conjunto cerrado. Podras vivir en un megaproyecto que lo tiene todo.

Contactar
Llamar",172853050,Apartamento," Cundinamarca

Unidades desde:

2 Habs.
2 Baños
47 m²
Zue Granate",Soacha,Apartamento En Venta En Soacha,47,2,,2
"Desde $ 222.068.198

Apartamento en Ricaurte, Cundinamarca

Unidades desde:

2 Habs.
2 Baños
53.26 m²
Cabo Verde Apartamentos, Apartamento En Venta En Ricaurte

Los apartamentos de Portonovo en Ricaurte en el sector de Peñalisa, son el lugar perfecto para tus vacaciones. Con una ubicación privilegiada en la Zona Peñalisa, tendrás a tu alcance todo lo necesario para disfrutar al máximo de tus días libres. Te ofrecemos apartamentos con acabados, amplio balcón y parqueadero de uso exclusivo. También encontrarás servicios y amenidades, como piscina, gimnasio, parques infantiles y áreas verdes, para que tengas todo lo necesario para relajarte y divertirte. *Separa con $5.000.000

Contactar
Llamar
Whatsapp",222068198,Apartamento," Cundinamarca

Unidades desde:

2 Habs.
2 Baños
53.26 m²
Cabo Verde Apartamentos",Ricaurte,Apartamento En Venta En Ricaurte,53.26,2,,2
"Desde $ 341.113.451

Apartamento en Ricaurte, Cundinamarca

Unidades desde:

2 Habs.
2 Baños
58.88 m²
Puerto Azul Club House, Apartamento En Venta En Ricaurte

Un lugar diseñado para ser tu segunda vivienda vacacional, ubicado estratégicamente a solo unas horas de Bogotá, Puerto Azul te ofrece un ambiente exclusivo y tranquilo rodeado de naturaleza. con zonas comunes únicas: Más de 18,000 m² dedicados al disfrute y la recreación, con piscinas para adultos y niños, cancha múltiple, zona BBQ, zona de picnic, gimnasio, salón social, y mucho más. Apartamentos modernos y funcionales, con áreas de 58 m² que incluye 2 habitaciones y 2 baños, ideales para descansar y disfrutar.

Contactar
Llamar
Whatsapp",341113451,Apartamento," Cundinamarca

Unidades desde:

2 Habs.
2 Baños
58.88 m²
Puerto Azul Club House",Ricaurte,Apartamento En Venta En Ricaurte,58.88,2,,2
